direct	iata	name	country	country_name
False	SHW	Шарура	SA	Саудовская Аравия
False	ZTF	Стэмфорд	US	США
False	TEB	Тетерборо	US	США
False	БТГ	Батагай	RU	Россия
False	LLB	Либо	CN	Китай
False	LWB	Льюисберг	US	США
False	BLK	Блэкпул	GB	Великобритания
False	BUP	Бхатинда	IN	Индия
False	GDE	Годе	ET	Эфиопия
False	MCW	Мейсон-Сити	US	США
False	FKL	Франклин	US	США
False	RHD	Термас-де-Рио-Ондо	AR	Аргентина
False	MYA	Моруя	AU	Австралия
False	YRT	Ранкин-Инлет	CA	Канада
False	LXG	Луангнамтха	LA	Лаос
False	CUK	Кей-Колкер	BZ	Белиз
False	SDG	Сенендедж	IR	Иран
False	LRR	Лар	IR	Иран
False	HUN	Хуалянь	TW	Тайвань
False	VHC	Сауримо	AO	Ангола
False	YZS	Корал-Харбор	CA	Канада
False	PGZ	Понта-Гроса	BR	Бразилия
False	HOT	Хот-Спрингс	US	США
False	KAA	Касама	ZM	Замбия
False	RLK	Баян-Нур	CN	Китай
False	GAL	Галина	US	США
False	LSP	Лас-Пьедрас	VE	Венесуэла
False	TXG	Тайчжун	TW	Тайвань
False	BJB	Боджнурд	IR	Иран
False	TWB	Тувумба	AU	Австралия
False	OLF	Вулф-Пойнт	US	США
False	CHY	Шуазёль-Бей	SB	Соломоновы острова
False	ELV	Элфин-Ков	US	США
False	GPI	Гуапи	CO	Колумбия
False	YCB	Кембридж-Бэй	CA	Канада
False	DEF	Дизфуль	IR	Иран
False	PGH	Пантнагар	IN	Индия
False	HIB	Хиббинг	US	США
False	TME	Таме	CO	Колумбия
False	VYI	Вилюйск	RU	Россия
False	SDN	Сандане	NO	Норвегия
False	YDQ	Доусон-Крик	CA	Канада
False	VIF	Вьесте	IT	Италия
False	GBT	Горган	IR	Иран
False	WWK	Вевак	PG	Папуа — Новая Гвинея
False	SLI	Солвези	ZM	Замбия
False	YSM	Форт-Смит	CA	Канада
False	KGC	Кингскот	AU	Австралия
False	MTH	Умтата	US	США
False	APO	Апартадо	CO	Колумбия
False	ROO	Рондонополис	BR	Бразилия
False	ASO	Асоса	ET	Эфиопия
False	MUZ	Мусома	TZ	Танзания
False	FJR	Эль-Фуджайра	AE	ОАЭ
False	KDL	Кярдла	EE	Эстония
False	EYP	Йопаль	CO	Колумбия
False	MUA	Мунда	SB	Соломоновы острова
False	MOD	Модесто	US	США
False	SRP	Стур	NO	Норвегия
False	BRD	Брейнерд	US	США
False	WYA	Уайалла	AU	Австралия
False	LMN	Лимбанг	MY	Малайзия
False	LUW	Лувук	ID	Индонезия
False	SHH	Шишмарёв	US	США
False	VPY	Шимойо	MZ	Мозамбик
False	WIC	Уик	GB	Великобритания
False	WAG	Уогга-Уогга	NZ	Новая Зеландия
False	ART	Уотертаун	US	США
False	SZI	Зайсан	KZ	Казахстан
False	ULZ	Улиастай	MN	Монголия
False	MAB	Мараба	BR	Бразилия
False	NRA	Наррандера	AU	Австралия
False	BWT	Берни	AU	Австралия
False	FUJ	Фукуэ	JP	Япония
False	PLJ	Пласенсия	BZ	Белиз
False	WLK	Селавик	US	США
False	YXH	Медисин-Хат	CA	Канада
False	SAG	Ширди	IN	Индия
False	TGC	Сарикей	MY	Малайзия
False	FYJ	Фуюань	CN	Китай
False	IQM	Черчен	CN	Китай
False	BLB	Бальбоа	PA	Панама
False	SPD	Саидпур	BD	Бангладеш
False	IRK	Керксвилл	US	США
False	OLP	Олимпик-Дэм	AU	Австралия
False	RSH	Рашен-Мишен	US	США
False	BLE	Бурлэнге	SE	Швеция
False	MFK	Мацзу	TW	Тайвань
False	HZH	Липин	CN	Китай
False	VDO	Вандон	VN	Вьетнам
False	HGR	Хейгерстаун	US	США
False	FKI	Кисангани	CD	ДРК
False	OHS	Сухар	OM	Оман
False	PMA	Пемба	TZ	Танзания
False	SJE	Сан-Хосе-дель-Гуа	CO	Колумбия
False	KWT	Куитлук	US	США
False	CYF	Чефорнак	US	США
False	BPX	Чамдо	CN	Китай
False	AUG	Огаста	US	США
False	XBJ	Бирдженд	IR	Иран
False	BRM	Баркисимето	VE	Венесуэла
False	YFO	Флин-Флон	CA	Канада
